"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","My-Linh Thai","(Prefers Democratic Party)",26509,68.6,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","Al Rosenthal","(Prefers Republican Party)",7157,18.52,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","WRITE-IN"," ",40,0.1,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","Raymond Pelletti","(Prefers Republican Party)",22336,45.72,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","Janet Melman","(Prefers Democratic Party)",3720,7.62,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","Alicia Rule","(Prefers Democratic Party)",22752,46.58,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","WRITE-IN"," ",42,0.09,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","Joe Timmons","(Prefers Democratic Party)",25741,52.73,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","Kamal Bhachu","(Prefers Republican Party)",23012,47.14,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","WRITE-IN"," ",59,0.12,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Nicole Macri","(Prefers Democratic Party)",31014,98.04,"Legislative"
"Legislative District 43 - State Representative Pos. 1","WRITE-IN"," ",619,1.96,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Stephanie LLoyd-Agnew","(Prefers Democrat Party)",1269,3.6,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Shaun Scott","(Prefers Democratic Party)",20846,59.11,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Daniel Carusello","(Prefers Democratic Party)",5743,16.28,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Andrea Suarez","(Prefers Democratic Party)",7133,20.23,"Legislative"
"Legislative District 43 - State Representative Pos. 2","WRITE-IN"," ",276,0.78,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Brandy Donaghy","(Prefers Democratic Party)",25127,92.3,"Legislative"
"Legislative District 44 - State Representative Pos. 1","WRITE-IN"," ",2096,7.7,"Legislative"
"Legislative District 44 - State Representative Pos. 2","April Berg","(Prefers Democratic Party)",22206,59.06,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Sam Sim","(Prefers Republican Party)",15352,40.83,"Legislative"
"Legislative District 44 - State Representative Pos. 2","WRITE-IN"," ",43,0.11,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Roger Goodman","(Prefers Democratic Party)",29936,95.55,"Legislative"
"Legislative District 45 - State Representative Pos. 1","WRITE-IN"," ",1394,4.45,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Larry Springer","(Prefers Democratic Party)",16904,49.32,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Melissa Demyan","(Prefers Democratic Party)",16405,47.86,"Legislative"
"Legislative District 45 - State Representative Pos. 2","WRITE-IN"," ",968,2.82,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Beth Daranciang","(Prefers Republican Party)",4464,10.16,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Gerry Pollet","(Prefers Democratic Party)",36545,83.18,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Ahndylyn Kinney","(Prefers Democratic Party)",2853,6.49,"Legislative"
"Legislative District 46 - State Representative Pos. 1","WRITE-IN"," ",75,0.17,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Darya Farivar","(Prefers Democratic Party)",38269,88.53,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Simone Barron","(Prefers Republican Party)",4870,11.27,"Legislative"
"Legislative District 46 - State Representative Pos. 2","WRITE-IN"," ",88,0.2,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Debra Jean Entenman","(Prefers Democratic Party)",17093,57.3,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Kyle Lyebyedyev","(Prefers Republican Party)",12678,42.5,"Legislative"
"Legislative District 47 - State Representative Pos. 1","WRITE-IN"," ",59,0.2,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Ted Cooke","(Prefers Republican Party)",8474,28.39,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Chris Stearns","(Prefers Democratic Party)",16433,55.05,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Brian Lott","(Prefers Republican Party)",4908,16.44,"Legislative"
"Legislative District 47 - State Representative Pos. 2","WRITE-IN"," ",37,0.12,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Vandana Slatter","(Prefers Democratic Party)",19868,71.47,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Lynn Trinh","(Prefers Republican Party)",7886,28.37,"Legislative"
"Legislative District 48 - State Representative Pos. 1","WRITE-IN"," ",45,0.16,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Amy Walen","(Prefers Democratic Party)",21069,95.88,"Legislative"
"Legislative District 48 - State Representative Pos. 2","WRITE-IN"," ",905,4.12,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","Annette Cleveland","(Prefers Democratic Party)",20058,62.72,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","Lucia Worthington","(Prefers Republican Party)",11844,37.04,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","WRITE-IN"," ",76,0.24,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","Sharon Wylie","(Prefers Democratic Party)",20533,64.33,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","Brett Graham","(Prefers Republican Party)",11322,35.47,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","WRITE-IN"," ",65,0.2,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","Russell Barber","(Prefers Republican Party)",6036,18.95,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","Monica Jurado Stonier","(Prefers Democratic Party)",20277,63.65,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","Justin M. Forsman","(Prefers Republican Party)",5463,17.15,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","WRITE-IN"," ",79,0.25,"Legislative"
"SUPREME COURT - Justice Position #02","Todd A. Bloom","",286298,16.3,"Judicial"
"SUPREME COURT - Justice Position #02","Sal Mungia","",762797,43.43,"Judicial"
"SUPREME COURT - Justice Position #02","David R Shelvey","",59676,3.4,"Judicial"
"SUPREME COURT - Justice Position #02","Dave Larson","",640116,36.45,"Judicial"
"SUPREME COURT - Justice Position #02","WRITE-IN"," ",7347,0.42,"Judicial"
"Kittitas Superior Court - Judge Position 1","Margie Alumbaugh","",3015,28.71,"Judicial"
"Kittitas Superior Court - Judge Position 1","Chris Herion","",4100,39.04,"Judicial"
"Kittitas Superior Court - Judge Position 1","Matt Mills","",3273,31.17,"Judicial"
"Kittitas Superior Court - Judge Position 1","WRITE-IN"," ",114,1.09,"Judicial"
"PIERCE SUPERIOR COURT - Judge Position 15","Brian Wasankari","",63651,34.01,"Judicial"
"PIERCE SUPERIOR COURT - Judge Position 15","Ingrid McLeod","",94919,50.71,"Judicial"
"PIERCE SUPERIOR COURT - Judge Position 15","John Austin","",27933,14.92,"Judicial"
"PIERCE SUPERIOR COURT - Judge Position 15","WRITE-IN"," ",670,0.36,"Judicial"
"Spokane Superior Court - Judge Position 11","F. Dayle Andersen","",9789,7.7,"Judicial"
"Spokane Superior Court - Judge Position 11","Andrew B. Van Winkle","",44865,35.28,"Judicial"
"Spokane Superior Court - Judge Position 11","Timothy B Fennessy","",47720,37.52,"Judicial"
"Spokane Superior Court - Judge Position 11","Jerry Scharosch","",24136,18.98,"Judicial"
"Spokane Superior Court - Judge Position 11","WRITE-IN"," ",661,0.52,"Judicial"
"Whitman Superior Court - Judge Position 1","Jenna Brozik","",2815,30.36,"Judicial"
"Whitman Superior Court - Judge Position 1","Roger Sandberg","",5100,55,"Judicial"
"Whitman Superior Court - Judge Position 1","Steve Martonick","",1342,14.47,"Judicial"
"Whitman Superior Court - Judge Position 1","WRITE-IN"," ",15,0.16,"Judicial"
