"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Congressional District 10 - U.S. Representative","Marilyn Strickland","(Prefers Democratic Party)",93942,54.25,"Congressional"
"Congressional District 10 - U.S. Representative","Eric Mahaffy","(Prefers Democratic Party)",3527,2.04,"Congressional"
"Congressional District 10 - U.S. Representative","Richard Boyce","(Prefers Congress Sucks Party)",2056,1.19,"Congressional"
"Congressional District 10 - U.S. Representative","Nirav Sheth","(Prefers Republican Party)",20208,11.67,"Congressional"
"Congressional District 10 - U.S. Representative","Kurtis Engle","(Prefers Union Party)",545,0.31,"Congressional"
"Congressional District 10 - U.S. Representative","Desiree C. Toliver","(Prefers Democratic Party)",6424,3.71,"Congressional"
"Congressional District 10 - U.S. Representative","Don Hewett","(Prefers Republican Party)",46258,26.72,"Congressional"
"Congressional District 10 - U.S. Representative","WRITE-IN"," ",192,0.11,"Congressional"
"Governor","Jim Daniel","(Prefers Republican Party)",29907,1.52,"State Executive"
"Governor","Cassondra Magdalene Hanson","(Prefers Democratic Party)",24512,1.24,"State Executive"
"Governor","Jeff Curry","(Prefers Independent Party)",6068,0.31,"State Executive"
"Governor","Alex Tsimerman","(Prefers Standup-America Party)",1721,0.09,"State Executive"
"Governor","Mark Mullet","(Prefers Democratic Party)",119048,6.04,"State Executive"
"Governor","Martin Lee Wheeler","(Prefers Republican Party)",7676,0.39,"State Executive"
"Governor","Jennifer Hoover","(Prefers Republican Party)",15692,0.8,"State Executive"
"Governor","Andre Stackhouse","(Prefers Green Party)",11962,0.61,"State Executive"
"Governor","EL'ona Kearney","(Prefers Democratic Party)",24374,1.24,"State Executive"
"Governor","Ricky Anthony","(Prefers Democratic Party)",6226,0.32,"State Executive"
"Governor","Bob Ferguson","(Prefers Democratic Party)",884268,44.88,"State Executive"
"Governor","Chaytan Inman","(Prefers Democratic Party)",6427,0.33,"State Executive"
"Governor","Michael DePaula","(Prefers Libertarian Party)",3957,0.2,"State Executive"
"Governor","Dave Reichert","(Prefers Republican Party)",541533,27.48,"State Executive"
"Governor","Don L Rivers","(Prefers Democratic Party)",9453,0.48,"State Executive"
"Governor","Jim Clark","(States No Party Preference)",2355,0.12,"State Executive"
"Governor","Fred Grant","(Prefers Democratic Party)",5503,0.28,"State Executive"
"Governor","Leon A Lawson","(Prefers Trump Republican Party)",35971,1.83,"State Executive"
"Governor","Edward Cale IV","(Prefers Democratic Party)",1975,0.1,"State Executive"
"Governor","Frank Dare","(Prefers Independent Party)",1115,0.06,"State Executive"
"Governor","William Combs","(Prefers Independent Party)",1042,0.05,"State Executive"
"Governor","Alan Makayev","(Prefers Nonsense Busters Party)",1106,0.06,"State Executive"
"Governor","Brian Bogen","(Prefers Nonpartisan Party)",4530,0.23,"State Executive"
"Governor","A.L. Brown","(Prefers Republican Party)",4232,0.21,"State Executive"
"Governor","Brad Mjelde","(States No Party Preference)",991,0.05,"State Executive"
"Governor","Bill Hirt","(Prefers Republican Party)",1720,0.09,"State Executive"
"Governor","Rosetta Marshall-Williams","(Prefers Independence Party)",2960,0.15,"State Executive"
"Governor","Semi Bird","(Prefers Republican Party)",212692,10.79,"State Executive"
"Governor","WRITE-IN"," ",1347,0.07,"State Executive"
"Lt. Governor","Patrick &quot;Pat&quot; Harman","(Prefers Liberal Republican Party)",50330,2.64,"State Executive"
"Lt. Governor","David Griffin","(Prefers Democratic Party)",169759,8.9,"State Executive"
"Lt. Governor","Bob Hagglund","(Prefers Republican Party)",319071,16.73,"State Executive"
"Lt. Governor","Dan Matthews","(Prefers Republican Party)",438537,22.99,"State Executive"
"Lt. Governor","Denny Heck","(Prefers Democratic Party)",927395,48.62,"State Executive"
"Lt. Governor","WRITE-IN"," ",2538,0.13,"State Executive"
"Secretary of State","Marquez Tiggs","(Prefers Democratic Party)",185628,9.65,"State Executive"
"Secretary of State","Dale Whitaker","(Prefers Republican Party)",709046,36.87,"State Executive"
"Secretary of State","Damon Townsend","(Prefers No Labels Party)",96586,5.02,"State Executive"
"Secretary of State","Steve Hobbs","(Prefers Democratic Party)",930533,48.38,"State Executive"
"Secretary of State","WRITE-IN"," ",1534,0.08,"State Executive"
"State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)",1118500,58.32,"State Executive"
"State Treasurer","Sharon Hanek","(Prefers Republican Party)",797824,41.6,"State Executive"
"State Treasurer","WRITE-IN"," ",1684,0.09,"State Executive"
"State Auditor","Matt Hawkins","(Prefers Republican Party)",786529,41.09,"State Executive"
"State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)",1125904,58.82,"State Executive"
"State Auditor","WRITE-IN"," ",1648,0.09,"State Executive"
"Attorney General","Pete Serrano","(Prefers Republican Party)",814372,42.11,"State Executive"
"Attorney General","Nick Brown","(Prefers Democratic Party)",682360,35.28,"State Executive"
"Attorney General","Manka Dhingra","(Prefers Democratic Party)",435919,22.54,"State Executive"
"Attorney General","WRITE-IN"," ",1284,0.07,"State Executive"
"Commissioner of Public Lands","Allen Lebovitz","(Prefers Democratic Party)",194114,10.2,"State Executive"
"Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)",419297,22.03,"State Executive"
"Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)",396300,20.82,"State Executive"
"Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)",396249,20.82,"State Executive"
"Commissioner of Public Lands","Patrick DePoe","(Prefers Democratic Party)",267924,14.08,"State Executive"
"Commissioner of Public Lands","Jeralee Anderson","(Prefers Democratic Party)",84351,4.43,"State Executive"
"Commissioner of Public Lands","Kevin Van De Wege","(Prefers Democratic Party)",143170,7.52,"State Executive"
"Commissioner of Public Lands","WRITE-IN"," ",1668,0.09,"State Executive"
"Superintendent of Public Instruction","Reid Saaris","",427788,23.94,"State Executive"
"Superintendent of Public Instruction","Chris Reykdal","",702227,39.3,"State Executive"
"Superintendent of Public Instruction","John Patterson Blair","",91410,5.12,"State Executive"
"Superintendent of Public Instruction","David Olson","",557822,31.22,"State Executive"
"Superintendent of Public Instruction","WRITE-IN"," ",7404,0.41,"State Executive"
"Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)",845148,45.18,"State Executive"
"Insurance Commissioner","Chris D. Chung","(Prefers Democratic Party)",54469,2.91,"State Executive"
"Insurance Commissioner","Jonathan Hendrix","(States No Party Preference)",68961,3.69,"State Executive"
"Insurance Commissioner","Bill Boyd","(Prefers Democratic Party)",57387,3.07,"State Executive"
"Insurance Commissioner","John Pestinger","(Prefers Democratic Party)",103986,5.56,"State Executive"
"Insurance Commissioner","Tim Verzal","(States No Party Preference)",15742,0.84,"State Executive"
"Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)",533560,28.52,"State Executive"
